,state_x,state_y,move_dir,throw_dir,Action,move_x,move_y,throw_dir_2,u,v
137,-7,-1,3,none,MOVE,1,-1,-1000,0.1,-0.1
138,-7,0,1,none,MOVE,1,1,-1000,0.1,0.1
139,-7,0,2,none,MOVE,1,0,-1000,0.1,0.0
140,-7,0,3,none,MOVE,1,-1,-1000,0.1,-0.1
141,-7,1,1,none,MOVE,1,1,-1000,0.1,0.1
142,-7,1,2,none,MOVE,1,0,-1000,0.1,0.0
143,-7,1,3,none,MOVE,1,-1,-1000,0.1,-0.1
144,-7,2,1,none,MOVE,1,1,-1000,0.1,0.1
145,-7,2,2,none,MOVE,1,0,-1000,0.1,0.0
146,-7,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
147,-7,3,2,none,MOVE,1,0,-1000,0.1,0.0
148,-7,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
149,-7,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
150,-7,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
151,-7,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
152,-7,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
153,-7,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
154,-7,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
155,-7,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
156,-6,-10,0,none,MOVE,0,1,-1000,0.0,0.1
157,-6,-10,1,none,MOVE,1,1,-1000,0.1,0.1
158,-6,-9,1,none,MOVE,1,1,-1000,0.1,0.1
159,-6,-8,1,none,MOVE,1,1,-1000,0.1,0.1
160,-6,-7,1,none,MOVE,1,1,-1000,0.1,0.1
161,-6,-6,1,none,MOVE,1,1,-1000,0.1,0.1
162,-6,-5,1,none,MOVE,1,1,-1000,0.1,0.1
163,-6,-4,1,none,MOVE,1,1,-1000,0.1,0.1
164,-6,-3,1,none,MOVE,1,1,-1000,0.1,0.1
165,-6,-2,1,none,MOVE,1,1,-1000,0.1,0.1
166,-6,-2,2,none,MOVE,1,0,-1000,0.1,0.0
167,-6,-1,1,none,MOVE,1,1,-1000,0.1,0.1
168,-6,-1,2,none,MOVE,1,0,-1000,0.1,0.0
169,-6,-1,3,none,MOVE,1,-1,-1000,0.1,-0.1
170,-6,0,1,none,MOVE,1,1,-1000,0.1,0.1
171,-6,0,2,none,MOVE,1,0,-1000,0.1,0.0
172,-6,0,3,none,MOVE,1,-1,-1000,0.1,-0.1
173,-6,1,1,none,MOVE,1,1,-1000,0.1,0.1
174,-6,1,2,none,MOVE,1,0,-1000,0.1,0.0
175,-6,1,3,none,MOVE,1,-1,-1000,0.1,-0.1
176,-6,2,2,none,MOVE,1,0,-1000,0.1,0.0
177,-6,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
178,-6,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
179,-6,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
180,-6,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
181,-6,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
182,-6,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
183,-6,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
184,-6,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
185,-6,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
186,-6,10,4,none,MOVE,0,-1,-1000,0.0,-0.1
187,-5,-10,0,none,MOVE,0,1,-1000,0.0,0.1
188,-5,-10,1,none,MOVE,1,1,-1000,0.1,0.1
189,-5,-10,7,none,MOVE,-1,1,-1000,-0.1,0.1
190,-5,-9,0,none,MOVE,0,1,-1000,0.0,0.1
191,-5,-9,1,none,MOVE,1,1,-1000,0.1,0.1
192,-5,-8,1,none,MOVE,1,1,-1000,0.1,0.1
193,-5,-7,1,none,MOVE,1,1,-1000,0.1,0.1
194,-5,-6,1,none,MOVE,1,1,-1000,0.1,0.1
195,-5,-5,1,none,MOVE,1,1,-1000,0.1,0.1
196,-5,-4,1,none,MOVE,1,1,-1000,0.1,0.1
197,-5,-3,1,none,MOVE,1,1,-1000,0.1,0.1
198,-5,-2,1,none,MOVE,1,1,-1000,0.1,0.1
199,-5,-1,1,none,MOVE,1,1,-1000,0.1,0.1
200,-5,-1,2,none,MOVE,1,0,-1000,0.1,0.0
201,-5,0,1,none,MOVE,1,1,-1000,0.1,0.1
202,-5,0,2,none,MOVE,1,0,-1000,0.1,0.0
203,-5,0,3,none,MOVE,1,-1,-1000,0.1,-0.1
204,-5,1,2,none,MOVE,1,0,-1000,0.1,0.0
205,-5,1,3,none,MOVE,1,-1,-1000,0.1,-0.1
206,-5,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
207,-5,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
208,-5,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
209,-5,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
210,-5,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
211,-5,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
